8.4186,102.4,58.209,5377800,0.19736,8
-74.414,179.62,753.41,316000,0.29326,5
-64.292,121.55,737.57,23345,0.21829,4
-40.829,-66.705,199.6,1431700,0.32724,6
65.496,-104.09,100.88,11595,0.25142,4
-46.854,92.708,1353.4,17404,0.12219,4
-32.75,-6.8669,12.626,63.281,0.18378,2
-18.827,-77.236,9.1428,374990,0.13809,6
82.246,-112.92,3948.7,3535200,0.35475,5
-55.167,73.526,377.14,3423.2,0.45204,3
3.8824,-171.09,1.2248,3621800,0.24445,7
-70.594,67.971,1160.5,20369000,0.21476,7
37.704,160.75,15.081,7723700,0.92591,8
9.8005,56.192,5471.9,3604.1,0.62676,2
86.673,-118.58,5262.4,392440000,0.45256,8
-58.497,-160.45,11.496,121570,0.23339,5
49.534,37.353,17.78,12196,0.29297,4
61.7,45.408,11.96,55194,0.1307,5
69.912,-117.25,1748.8,605.93,0.28154,2
-72.493,-168.73,1.0971,10365000,0.549,8
69.847,-162.11,446.85,13473000,0.65009,8
-50.352,-149.74,26.245,2828600,0.73361,6
18.386,-17.507,4068.6,38.361,0.10603,1
1.8144,-127.99,98.971,94571,0.35133,5
25.591,-105.5,22.14,1348.5,0.41667,3
20.694,32.828,525.07,91.675,0.21454,2
27.401,96.71,36.725,5044.8,0.14795,4
34.582,-94.438,5650.8,1413.6,0.1219,2
2.0728,-165.08,17.193,970.24,0.37511,3
80.698,-105.36,86.095,16660,0.36091,4
57.753,-173.71,1312.1,313430,0.21199,5
-81.814,4.9862,57.824,46898,0.85294,4
28.78,1.9333,858.01,12725000,0.35547,8
53.879,-22.418,2.2757,8641300,0.29413,8
-21.892,93.212,1508,12916000,0.27158,7
17.243,-63.005,910.23,34032,0.6483,4
2.8063,-7.1659,47.497,66.683,0.25594,2
-39.5,135.96,2853.9,269370,0.82546,4
19.131,78.367,3.5784,133150,0.46177,5
-54.9,-157.2,1.7893,9386200,0.33032,8
3.6332,-125.96,360.4,152520,0.46801,5
-33.78,61.972,37.158,202.42,0.57033,2
-46.652,-40.905,1.3567,2565.3,0.59399,3
9.3676,21.038,1.8374,115940,0.4524,5
-4.3456,58.297,1283.6,210.11,0.3313,2
83.072,12.622,4132.6,15479000,0.14632,6
-62.376,-161.21,1.1469,192.86,0.37231,2
4.9882,-126.84,1.9462,69429,0.27461,5
86.631,-121.37,4.1613,85.673,0.20388,2
-75.872,78.624,58.162,66217,0.12049,5
18.926,137.91,3.0345,597.7,0.20991,3
-78.778,-128.33,1.8567,156.81,0.30248,2
48.362,143.16,112.04,8998900,0.57155,7
-48.824,-25.786,28.596,1573800,0.37015,6
79.989,-101.56,949.64,160240,0.14411,5
46.813,137.11,8.6905,8364800,0.32927,8
-85.113,22.145,3319.4,1492.6,0.21674,2
-13.456,-62.317,175.55,5308000,0.41295,7
-19.497,43.686,6553.1,175050000,0.42439,7
56.412,163.83,5.2979,968930,0.2309,6
42.407,115.04,493.07,2646.9,0.43699,3
-83.755,-136.73,13.24,9675200,0.50803,7
72.243,-18.019,8108,990.93,0.18634,1
64.701,10.28,7197.8,698250000,0.10418,8
-60.96,-52.785,1.6958,18499,0.35721,4
-10.603,-62.388,4128.1,297030,0.90459,4
37.843,59.271,1945.7,1960.8,0.11595,3
48.463,-32.196,1.6599,8267700,0.92298,7
85.014,-137.89,102.33,3988600,0.1108,7
-70.202,-167.81,55.489,60.026,0.10921,2
84.888,158.46,4895.3,325030000,0.74142,8
34.746,72.891,29.394,12.156,0.32572,1
-10.179,15.475,136.75,3510300,0.19511,7
18.254,160.92,313.32,6959800,0.10732,8
-67.916,112.88,7339.8,25975,0.70786,2
74.293,63.492,736.35,2597400,0.30642,6
53.409,10.666,963.89,108520,0.10677,5
73.267,-135.5,2343.7,864.97,0.2514,2
47.55,-14.64,249.19,4214.9,0.81718,3
-17.65,82.827,5981.5,158910000,0.10725,8
19.752,168.4,321.76,3994700,0.16524,7
71.731,-98.436,2.5144,7361300,0.42274,7
-13.595,81.755,5059.8,12240,0.23565,3
-33.804,17.891,153.12,519040,0.1328,6
17.397,-121.98,44.927,2544.6,0.89628,3
-75.552,-94.929,8547.9,1033400000,0.18812,8
52.342,-131.35,150.03,13.299,0.26959,1
31.78,116.02,4017,765.07,0.15054,2
-35.125,100.75,84.454,93777,0.2474,5
68.079,175.78,1.1905,2654.4,0.64653,3
6.2364,89.214,6849.6,30615000,0.36404,6
-40.812,162.41,3882.8,276470,0.45645,4
41.971,20.966,8513.3,506610,0.13014,4
68.703,141.58,33.6,2405100,0.66131,6
74.277,145.49,2.0993,7.5859,0.18481,1
13.034,-176.66,6.0847,3.9036,0.14637,1
52.609,-111.3,5817.9,199820000,0.14515,7
56.983,-26.622,15.386,1164100,0.2769,6
64.533,133.85,3525.4,134560000,0.56065,7
-2.6728,-4.1254,1.8128,11349,0.45274,4
17.2,-140.37,22.877,360.41,0.12957,3
14.432,-23.259,43.793,7.4523,0.27146,1
-43.255,-92.096,636.7,1261400,0.18655,6
-68.547,-133.48,2.0338,3285700,0.76194,6
10.107,120.37,2.6281,292.54,0.11285,3
-80.258,56.359,12.504,2201400,0.47102,6
-66.547,8.639,1.5187,33.495,0.64632,1
-5.5917,75.833,238.71,132.58,0.43585,2
21.382,71.694,17.576,4568100,0.27435,7
-57.956,-93.13,224.75,12938000,0.8828,7
57.36,32.43,1.021,8314100,0.35996,8
52.646,-36.242,2843.4,9903400,0.24841,6
-46.374,-119.36,2541.5,13147,0.41033,3
