8.4186,102.4,58.209,5.3778e+06,1.9736e+07
-74.414,179.62,753.41,3.16e+05,29326
-64.292,121.55,737.57,23345,2182.9
-40.829,-66.705,199.6,1.4317e+06,3.2724e+05
65.496,-104.09,100.88,11595,2514.2
-46.854,92.708,1353.4,17404,1221.9
-32.75,-6.8669,12.626,63.281,18.378
-18.827,-77.236,9.1428,3.7499e+05,1.3809e+05
82.246,-112.92,3948.7,3.5352e+06,35475
-55.167,73.526,377.14,3423.2,452.04
3.8824,-171.09,1.2248,3.6218e+06,2.4445e+06
-70.594,67.971,1160.5,2.0369e+07,2.1476e+06
37.704,160.75,15.081,7.7237e+06,9.2591e+07
9.8005,56.192,5471.9,3604.1,62.676
86.673,-118.58,5262.4,3.9244e+08,4.5256e+07
-58.497,-160.45,11.496,1.2157e+05,23339
49.534,37.353,17.78,12196,2929.7
61.7,45.408,11.96,55194,13070
69.912,-117.25,1748.8,605.93,28.154
-72.493,-168.73,1.0971,1.0365e+07,5.49e+07
69.847,-162.11,446.85,1.3473e+07,6.5009e+07
-50.352,-149.74,26.245,2.8286e+06,7.3361e+05
18.386,-17.507,4068.6,38.361,1.0603
1.8144,-127.99,98.971,94571,35133
25.591,-105.5,22.14,1348.5,416.67
20.694,32.828,525.07,91.675,21.454
27.401,96.71,36.725,5044.8,1479.5
34.582,-94.438,5650.8,1413.6,12.19
2.0728,-165.08,17.193,970.24,375.11
80.698,-105.36,86.095,16660,3609.1
57.753,-173.71,1312.1,3.1343e+05,21199
-81.814,4.9862,57.824,46898,8529.4
28.78,1.9333,858.01,1.2725e+07,3.5547e+07
53.879,-22.418,2.2757,8.6413e+06,2.9413e+07
-21.892,93.212,1508,1.2916e+07,2.7158e+06
17.243,-63.005,910.23,34032,6483
2.8063,-7.1659,47.497,66.683,25.594
-39.5,135.96,2853.9,2.6937e+05,8254.6
19.131,78.367,3.5784,1.3315e+05,46177
-54.9,-157.2,1.7893,9.3862e+06,3.3032e+07
3.6332,-125.96,360.4,1.5252e+05,46801
-33.78,61.972,37.158,202.42,57.033
-46.652,-40.905,1.3567,2565.3,593.99
9.3676,21.038,1.8374,1.1594e+05,45240
